"",Married: No, Married: Yes,Dependents: No, Dependents: Yes, Employer is college or university: No, Employer is college or university: Yes
It is not important for the field of economics to be inclusive towards people with different backgrounds.,0.04,0.05,0.04,0.05,0.04,0.05
Discrimination is rare within the field of economics today.,0.03,0.05,0.04,0.05,0.05,0.05
Economics would be a more vibrant discipline if it were more diverse.,0.82,0.82,0.84,0.81,0.82,0.82
The AEA should not expend much effort to improve diversity within its ranks.,0.02,0.03,0.03,0.03,0.03,0.03
People of my race/ethnicity are respected within the field,0.62,0.69,0.68,0.67,0.65,0.69
People who are not White are respected within the field,0.27,0.29,0.26,0.31,0.28,0.29
Men are respected within the field,0.95,0.97,0.97,0.95,0.96,0.96
Women are respected within the field,0.17,0.16,0.17,0.15,0.18,0.15
Transgender and gender non-conforming people are respected within the field,0.13,0.17,0.16,0.17,0.17,0.17
People of my sexual orientation are respected within the field,0.84,0.89,0.87,0.89,0.89,0.87
People who are not heterosexual are respected within the field,0.37,0.44,0.40,0.45,0.38,0.45
People of my disability status are respected within the field,0.32,0.39,0.36,0.40,0.35,0.39
People with a disability are respected within the field,0.37,0.42,0.41,0.42,0.37,0.44
