"",Non-Black,Black,Non-Asian,Asian,Non-Latino,Latino
It is not important for the field of economics to be inclusive towards people with different backgrounds.,0.06,0.09,0.06,0.08,0.06,0.08
Discrimination is rare within the field of economics today.,0.12,0.07,0.13,0.09,0.12,0.11
Economics would be a more vibrant discipline if it were more diverse.,0.66,0.83,0.66,0.72,0.66,0.70
The AEA should not expend much effort to improve diversity within its ranks.,0.08,0.07,0.08,0.06,0.08,0.07
People of my race/ethnicity are respected within the field,0.73,0.14,0.78,0.33,0.74,0.46
People who are not White are respected within the field,0.46,0.20,0.48,0.29,0.46,0.37
Men are respected within the field,0.91,0.86,0.93,0.76,0.91,0.91
Women are respected within the field,0.41,0.28,0.42,0.28,0.41,0.37
Transgender and gender non-conforming people are respected within the field.,0.33,0.20,0.34,0.21,0.33,0.24
People of my sexual orientation are respected within the field,0.89,0.79,0.90,0.74,0.89,0.86
People who are not heterosexual are respected within the field,0.58,0.36,0.60,0.40,0.58,0.50
People of my disability status are respected within the field,0.54,0.33,0.55,0.41,0.54,0.40
People with a disability are respected within the field,0.58,0.36,0.60,0.44,0.58,0.52
