Field:,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16
Agricultural and Natural Resource Economics / Environmental Economics,0.27,0.57,0.36,0.65,0.36,0.67,0.36,0.66,0.18,0.12,0.38,0.67,0.06,0.28,0.20,0.11
Business Administration/Business Economics,0.39,0.55,0.36,0.57,0.32,0.53,0.37,0.55,0.21,0.11,0.36,0.57,0.06,0.23,0.21,0.12
"Economic Development, Innovation, Technical Change, and Growth",0.28,0.54,0.38,0.68,0.36,0.67,0.43,0.67,0.22,0.09,0.44,0.67,0.08,0.24,0.19,0.11
Economic History,0.26,0.50,0.35,0.62,0.32,0.62,0.41,0.66,0.23,0.17,0.31,0.60,0.06,0.21,0.28,0.18
Financial Economics,0.39,0.54,0.44,0.63,0.41,0.63,0.47,0.67,0.19,0.14,0.46,0.62,0.06,0.24,0.20,0.16
General Economics and Teaching,0.39,0.57,0.36,0.65,0.31,0.63,0.36,0.61,0.13,0.13,0.29,0.61,0.04,0.30,0.23,0.18
"Health, Education and Welfare",0.22,0.57,0.27,0.62,0.25,0.63,0.29,0.64,0.19,0.12,0.32,0.62,0.03,0.21,0.20,0.11
Industrial Organization,0.39,0.57,0.49,0.64,0.42,0.67,0.50,0.66,0.17,0.12,0.51,0.65,0.08,0.23,0.17,0.11
International Economics,0.37,0.55,0.44,0.61,0.42,0.60,0.48,0.64,0.19,0.14,0.47,0.60,0.08,0.20,0.19,0.16
Labor and Demographic Economics,0.28,0.55,0.40,0.62,0.35,0.62,0.43,0.64,0.20,0.15,0.43,0.61,0.06,0.26,0.18,0.11
Macro and Monetary Economics,0.38,0.61,0.45,0.66,0.43,0.66,0.48,0.66,0.16,0.09,0.49,0.63,0.09,0.22,0.19,0.12
Mathematical and Quantitative Methods,0.38,0.56,0.52,0.65,0.39,0.64,0.52,0.68,0.14,0.13,0.46,0.63,0.09,0.27,0.16,0.17
Microeconomics,0.37,0.59,0.44,0.67,0.41,0.68,0.47,0.68,0.18,0.08,0.39,0.60,0.06,0.17,0.21,0.10
Public Economics,0.39,0.58,0.49,0.69,0.43,0.69,0.46,0.67,0.18,0.11,0.48,0.65,0.08,0.25,0.20,0.12
Urban Economics,0.36,0.56,0.39,0.63,0.35,0.65,0.41,0.65,0.17,0.08,0.36,0.63,0.06,0.20,0.13,0.11
Other,0.30,0.51,0.34,0.60,0.30,0.58,0.35,0.59,0.24,0.18,0.29,0.57,0.04,0.21,0.36,0.16
