Field:,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16
Agricultural and Natural Resource Economics / Environmental Economics,0.12,0.46,0.17,0.59,0.16,0.65,0.19,0.61,0.38,0.18,0.28,0.66,0.00,0.25,0.26,0.12
Business Administration/Business Economics,0.21,0.44,0.27,0.44,0.15,0.32,0.31,0.44,0.33,0.21,0.36,0.50,0.06,0.15,0.23,0.21
"Economic Development, Innovation, Technical Change, and Growth",0.16,0.47,0.24,0.58,0.24,0.55,0.32,0.55,0.32,0.12,0.38,0.58,0.05,0.19,0.21,0.12
Economic History,0.09,0.47,0.25,0.69,0.09,0.59,0.31,0.69,0.34,0.19,0.28,0.63,0.10,0.28,0.38,0.09
Financial Economics,0.22,0.41,0.25,0.52,0.19,0.46,0.32,0.52,0.33,0.28,0.42,0.57,0.05,0.20,0.22,0.23
General Economics and Teaching,0.32,0.52,0.27,0.64,0.29,0.61,0.29,0.59,0.23,0.14,0.26,0.59,0.05,0.38,0.25,0.18
"Health, Education and Welfare",0.15,0.48,0.17,0.53,0.17,0.58,0.23,0.54,0.24,0.20,0.27,0.53,0.02,0.17,0.20,0.13
Industrial Organization,0.27,0.49,0.35,0.63,0.28,0.60,0.24,0.56,0.43,0.28,0.43,0.60,0.04,0.21,0.22,0.12
International Economics,0.22,0.38,0.27,0.47,0.24,0.49,0.32,0.51,0.35,0.25,0.42,0.50,0.05,0.15,0.22,0.19
Labor and Demographic Economics,0.22,0.45,0.25,0.49,0.22,0.51,0.28,0.53,0.31,0.24,0.34,0.55,0.04,0.22,0.22,0.13
Macro and Monetary Economics,0.17,0.42,0.24,0.53,0.24,0.55,0.27,0.53,0.35,0.19,0.39,0.56,0.05,0.13,0.23,0.16
Mathematical and Quantitative Methods,0.20,0.45,0.27,0.48,0.10,0.55,0.21,0.40,0.21,0.20,0.28,0.47,0.07,0.24,0.23,0.28
Microeconomics,0.22,0.44,0.29,0.54,0.19,0.60,0.30,0.54,0.33,0.14,0.34,0.52,0.03,0.12,0.21,0.12
Public Economics,0.22,0.45,0.33,0.60,0.26,0.54,0.33,0.51,0.31,0.15,0.42,0.54,0.06,0.21,0.19,0.12
Urban Economics,0.06,0.35,0.15,0.56,0.15,0.62,0.24,0.59,0.44,0.15,0.15,0.59,0.03,0.18,0.09,0.12
Other,0.18,0.42,0.23,0.48,0.17,0.49,0.21,0.46,0.41,0.23,0.22,0.42,0.03,0.15,0.44,0.14
