Field:,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16
Agricultural and Natural Resource Economics / Environmental Economics,0.34,0.61,0.45,0.68,0.46,0.67,0.43,0.67,0.09,0.10,0.43,0.68,0.08,0.29,0.17,0.11
Business Administration/Business Economics,0.45,0.60,0.39,0.62,0.37,0.62,0.38,0.60,0.17,0.07,0.35,0.60,0.06,0.27,0.20,0.09
"Economic Development, Innovation, Technical Change, and Growth",0.35,0.59,0.46,0.73,0.43,0.73,0.49,0.74,0.17,0.08,0.47,0.72,0.09,0.27,0.19,0.10
Economic History,0.32,0.52,0.39,0.59,0.40,0.62,0.45,0.65,0.18,0.16,0.32,0.60,0.04,0.18,0.25,0.21
Financial Economics,0.45,0.59,0.51,0.67,0.49,0.70,0.53,0.73,0.14,0.09,0.48,0.64,0.06,0.25,0.19,0.14
General Economics and Teaching,0.45,0.60,0.42,0.66,0.33,0.64,0.42,0.64,0.05,0.12,0.30,0.62,0.04,0.25,0.21,0.16
"Health, Education and Welfare",0.29,0.66,0.36,0.70,0.33,0.68,0.35,0.74,0.13,0.05,0.37,0.71,0.05,0.24,0.19,0.09
Industrial Organization,0.43,0.60,0.54,0.65,0.46,0.69,0.58,0.70,0.09,0.07,0.53,0.66,0.09,0.24,0.15,0.11
International Economics,0.43,0.62,0.52,0.67,0.49,0.65,0.55,0.69,0.12,0.09,0.49,0.64,0.09,0.22,0.18,0.15
Labor and Demographic Economics,0.32,0.63,0.52,0.71,0.44,0.70,0.54,0.72,0.12,0.08,0.49,0.65,0.07,0.28,0.16,0.10
Macro and Monetary Economics,0.44,0.66,0.50,0.69,0.48,0.69,0.54,0.70,0.10,0.07,0.52,0.65,0.10,0.25,0.18,0.11
Mathematical and Quantitative Methods,0.42,0.58,0.57,0.68,0.45,0.66,0.58,0.74,0.13,0.11,0.50,0.67,0.09,0.28,0.14,0.15
Microeconomics,0.42,0.63,0.49,0.71,0.48,0.70,0.53,0.72,0.13,0.07,0.40,0.63,0.06,0.19,0.20,0.10
Public Economics,0.45,0.63,0.56,0.74,0.50,0.75,0.50,0.72,0.13,0.09,0.50,0.68,0.08,0.26,0.20,0.12
Urban Economics,0.44,0.61,0.45,0.65,0.42,0.66,0.47,0.68,0.09,0.06,0.43,0.65,0.07,0.21,0.15,0.11
Other,0.35,0.54,0.39,0.64,0.36,0.61,0.42,0.65,0.16,0.15,0.32,0.63,0.05,0.25,0.33,0.17
