"",Employer is college or university:No,Employer is college or university:Yes,Age: Less than 44,Age: 44 or more,Economically:conservative,Economically:liberal,Socially:conservative,Socially:liberal
I am satisfied with the overall climate within the field of economics,0.36,0.33,0.27,0.42,0.39,0.27,0.45,0.30
I am satisfied with the overall climate at my institution/place of employment,0.59,0.56,0.57,0.57,0.59,0.55,0.58,0.56
I feel valued within the field of economics,0.39,0.40,0.31,0.49,0.42,0.37,0.44,0.38
I feel valued at my institution/place of employment,0.65,0.64,0.62,0.67,0.65,0.63,0.62,0.65
I always feel included socially within the field of economics,0.38,0.37,0.32,0.43,0.39,0.35,0.41,0.36
I always feel included socially at my institution/place of employment,0.63,0.64,0.63,0.65,0.64,0.63,0.61,0.64
I always feel included intellectually within the field of economics,0.41,0.43,0.37,0.48,0.44,0.40,0.48,0.40
I always feel included intellectually at my institution/place of employment,0.66,0.65,0.64,0.67,0.65,0.65,0.63,0.66
I feel I have been discriminated against within the field of economics,0.15,0.19,0.21,0.14,0.17,0.19,0.17,0.18
I feel I have been discriminated against at my institution/place of employment,0.11,0.12,0.11,0.13,0.12,0.12,0.14,0.11
The work that I do is valued within the field of economics,0.38,0.41,0.35,0.45,0.41,0.39,0.44,0.39
The work that I do is valued at my institution/place of employment,0.66,0.62,0.63,0.64,0.64,0.63,0.61,0.64
I think I have a great deal of power within the field of economics,0.08,0.06,0.05,0.09,0.07,0.07,0.10,0.06
I think I have a great deal of power at my institution/place of employment,0.28,0.23,0.17,0.32,0.25,0.24,0.24,0.25
My ideas and opinions are often ignored within the field of economics,0.20,0.20,0.20,0.20,0.19,0.22,0.20,0.20
My ideas and opinions are often ignored at my institution/place of employment,0.11,0.13,0.11,0.14,0.12,0.12,0.15,0.11
