Have you personally experienced discrimination or unfair treatment with regard to:,Age: Less than 44,Age: 44 or more,Economically: conservative,Economically: liberal,Socially: conservative,Socially:liberal
Promotion decisions,0.14,0.17,0.15,0.17,0.18,0.15
Compensation,0.17,0.20,0.19,0.20,0.20,0.19
Teaching assignments,0.16,0.13,0.14,0.16,0.16,0.14
Service obligations,0.20,0.18,0.19,0.20,0.19,0.19
Access to time and funding to attend conferences and seminars,0.10,0.09,0.09,0.10,0.13,0.08
Access to graduate student researchers,0.08,0.08,0.07,0.09,0.10,0.07
Course evaluations,0.24,0.16,0.19,0.21,0.18,0.21
Publishing decisions,0.26,0.18,0.20,0.24,0.23,0.22
Funding decisions,0.14,0.13,0.12,0.15,0.16,0.13
Sabbatical time,0.04,0.06,0.05,0.05,0.07,0.04
Access to potential coauthors,0.14,0.07,0.09,0.12,0.10,0.11
"Invitations to participate in research conferences, associations and networks",0.23,0.16,0.18,0.20,0.20,0.19
