"Have you ever done any of the following to avoid possible harassment, discrimination, or unfair or disrespectful treatment:",Non-Black,Black,Non-Asian,Asian,Non-Latino,Latino
Not applied for or accepted admission at a particular grad school,0.06,0.21,0.06,0.09,0.06,0.09
Paused or ceased enrollment at a particular grad school,0.02,0.10,0.02,0.04,0.02,0.04
Not applied for or taken a particular employment position,0.15,0.34,0.14,0.19,0.15,0.19
Not applied for or taken a promotion at your place of employment,0.07,0.15,0.06,0.10,0.07,0.09
Left a particular employment position,0.10,0.19,0.10,0.12,0.10,0.12
"Not presented your question, idea, or view at your school or place of work",0.31,0.41,0.30,0.34,0.30,0.36
Not participated in a conference,0.13,0.27,0.13,0.17,0.13,0.18
Not spoken at a conference or during a seminar presentation,0.26,0.35,0.26,0.28,0.26,0.32
Not made a professional visit to a particular place,0.10,0.25,0.09,0.15,0.10,0.12
"Not attended social events after class, at work, or at conferences",0.24,0.44,0.24,0.30,0.25,0.27
"Changed the topic, content, or method of a class you teach",0.14,0.22,0.14,0.16,0.14,0.17
"Changed the content, method, or conclusions of a research paper",0.08,0.11,0.08,0.11,0.08,0.12
Not started or continued research in a particular field,0.17,0.31,0.17,0.19,0.17,0.19
