Sample:,,All,,,,,,,Women only,,,,,
"",,,,Subject/m,,,,Subject/m,Inappropriate,,,,,
"",,,Work not,,,,Work not,,,Threatened,,,,
"",Socially,,,ethods,Socially,,,ethods,material/ Unwanted,,,Attempted,,Other
"",,Disrespected,taken,,,Disrespected,taken,,,with,Stalked,,Assaulted,
"",excluded,,,not taken,excluded,,,not taken,language/ advances,,,Assault,,touching
"",,,seriously,,,,seriously,,,retaliation,,,,
Field:,,,,seriously,,,,seriously,gestures,,,,,
Agricultural and Natural Resource Economics /,,,,,,,,,,,,,,
Environmental Economics,0.52,0.55,0.60,0.61,0.73,0.74,0.77,0.72,0.50 0.17,0.05,0.09,0.04,0.00,0.14
Business Administration/Business Economics,0.55,0.49,0.60,0.57,0.76,0.66,0.79,0.68,0.44 0.24,0.03,0.06,0.06,0.03,0.18
"Economic Development, Innovation, Technical",,,,,,,,,,,,,,
"Change, and Growth",0.56,0.51,0.56,0.53,0.68,0.69,0.70,0.65,0.45 0.24,0.04,0.10,0.05,0.01,0.10
Economic History,0.56,0.56,0.65,0.62,0.75,0.59,0.84,0.75,0.44 0.22,0.03,0.22,0.06,0.06,0.22
Financial Economics,0.50,0.42,0.48,0.39,0.68,0.64,0.68,0.46,0.55 0.29,0.08,0.11,0.11,0.07,0.13
General Economics and Teaching,0.42,0.41,0.50,0.41,0.53,0.47,0.62,0.52,0.40 0.20,0.09,0.13,0.04,0.03,0.07
"Health, Education and Welfare",0.61,0.59,0.66,0.58,0.70,0.65,0.77,0.69,0.41 0.21,0.05,0.06,0.03,0.03,0.12
Industrial Organization,0.47,0.42,0.48,0.41,0.68,0.59,0.59,0.49,0.29 0.18,0.07,0.13,0.04,0.01,0.15
International Economics,0.45,0.45,0.52,0.44,0.65,0.70,0.75,0.61,0.36 0.23,0.06,0.10,0.06,0.02,0.12
Labor and Demographic Economics,0.55,0.52,0.58,0.50,0.67,0.64,0.72,0.65,0.43 0.20,0.06,0.08,0.06,0.03,0.15
Macro and Monetary Economics,0.43,0.41,0.43,0.38,0.71,0.70,0.67,0.53,0.58 0.32,0.15,0.19,0.08,0.03,0.16
Mathematical and Quantitative Methods,0.40,0.38,0.42,0.39,0.60,0.67,0.76,0.57,0.57 0.30,0.10,0.13,0.10,0.03,0.07
Microeconomics,0.45,0.43,0.50,0.44,0.61,0.63,0.69,0.58,0.48 0.31,0.11,0.14,0.06,0.04,0.20
Public Economics,0.42,0.43,0.49,0.46,0.59,0.61,0.72,0.59,0.45 0.23,0.09,0.10,0.05,0.02,0.08
Urban Economics,0.44,0.46,0.45,0.42,0.65,0.74,0.65,0.50,0.44 0.18,0.15,0.03,0.03,0.03,0.15
Other,0.49,0.53,0.66,0.67,0.64,0.63,0.80,0.75,0.40 0.19,0.04,0.08,0.04,0.00,0.11
