Question|All|Male|Female|White|NonWhite|Nodisability|Withdisability|Heterosexual|Othersexualorientation
I am satisfied with the overall climate within the field of economics|0.34|0.40|0.20|0.34|0.33|0.35|0.26|0.34|0.22
I am satisfied with the overall climate at my institution/place of employment|0.57|0.62|0.46|0.59|0.50|0.58|0.46|0.57|0.53
I feel valued within the field of economics|0.40|0.47|0.25|0.41|0.35|0.41|0.29|0.40|0.30
I feel valued at my institution/place of employment|0.64|0.68|0.55|0.66|0.56|0.65|0.53|0.64|0.59
I always feel included socially within the field of economics|0.37|0.44|0.22|0.38|0.32|0.38|0.29|0.38|0.25
I always feel included socially at my institution/place of employment|0.63|0.68|0.54|0.65|0.57|0.65|0.53|0.64|0.55
I always feel included intellectually within the field of economics|0.42|0.49|0.28|0.43|0.40|0.43|0.35|0.43|0.32
I always feel included intellectually at my institution/place of employment|0.65|0.70|0.54|0.67|0.59|0.66|0.54|0.65|0.58
I feel I have been discriminated against within the field of economics|0.18|0.12|0.30|0.16|0.25|0.17|0.25|0.17|0.26
I feel I have been discriminated against at my institution/place of employment|0.12|0.08|0.20|0.11|0.16|0.11|0.17|0.12|0.14
The work that I do is valued within the field of economics|0.40|0.43|0.33|0.40|0.40|0.41|0.33|0.41|0.30
The work that I do is valued at my institution/place of employment|0.63|0.66|0.57|0.65|0.59|0.65|0.53|0.64|0.57
I think I have a great deal of power within the field of economics|0.07|0.08|0.05|0.06|0.10|0.07|0.05|0.07|0.04
I think I have a great deal of power at my institution/place of employment|0.24|0.26|0.20|0.25|0.21|0.25|0.16|0.25|0.16
My ideas and opinions are often ignored within the field of economics|0.20|0.19|0.23|0.19|0.24|0.19|0.28|0.20|0.29
My ideas and opinions are often ignored at my institution/place of employment|0.12|0.12|0.14|0.12|0.14|0.12|0.18|0.12|0.11
