DiscriminationRegarding|All|Male|Female|White|NonWhite|Nodisability|Withdisability|Heterosexual|Othersexualorientation
Promotion decisions|0.16|0.11|0.27|0.14|0.22|0.15|0.21|0.16|0.18
Compensation|0.19|0.11|0.37|0.18|0.26|0.19|0.22|0.19|0.20
Teaching assignments|0.15|0.09|0.28|0.13|0.20|0.14|0.19|0.15|0.14
Service obligations|0.19|0.08|0.43|0.18|0.23|0.19|0.25|0.19|0.24
Access to time and funding to attend conferences and seminars|0.10|0.07|0.15|0.08|0.16|0.09|0.13|0.09|0.15
Access to graduate student researchers|0.08|0.05|0.15|0.07|0.13|0.08|0.12|0.08|0.10
Course evaluations|0.20|0.08|0.47|0.19|0.27|0.19|0.29|0.20|0.28
Publishing decisions|0.22|0.18|0.31|0.21|0.29|0.22|0.26|0.22|0.23
Funding decisions|0.13|0.11|0.19|0.12|0.20|0.13|0.21|0.13|0.17
Sabbatical time|0.05|0.03|0.08|0.04|0.08|0.04|0.09|0.05|0.06
Access to potential coauthors|0.10|0.05|0.22|0.09|0.16|0.10|0.15|0.10|0.15
Invitations to participate in research conferences, associations and networks|0.19|0.13|0.32|0.17|0.28|0.19|0.26|0.19|0.25
