"",,,,,,,,Other,
"",,,,Non- No,With,Hetero-,,,
All,Male,Female,White,,,,,sexual,N
sexualSample:,,,,White disability,disability,,,orientation,
Have you ever experienced any of the following:,,,,,,,,,
Felt socially excluded at a meeting or event in the field 0.47,0.40,0.66,0.46,0.53 0.46,0.59,0.47,,0.59,"4,243"
Felt disrespected by your economist colleagues 0.45,0.37,0.63,0.45,0.46 0.44,0.58,0.45,,0.56,"4,034"
Felt that your work was not taken as seriously as that of your economist colleagues 0.51,0.43,0.69,0.51,0.52 0.50,0.60,0.51,,0.60,"4,567"
Felt that the subject or methodology of your research was not taken as seriously as,,,,,,,,,
0.46,0.40,0.60,0.46,0.47 0.45,0.54,0.46,,0.55,"4,130"
that of your economist colleagues,,,,,,,,,
"Another economist or economics student displayed, used, or distributed inappropriate",,,,,,,,,
"sexual or suggestive materials; made offensive sexual remarks, either directed at you",,,,,,,,,
"or overheard, including jokes or sexual stories; made remarks about your appearance, 0.22",0.13,0.42,0.23,0.19 0.21,0.28,0.21,,0.37,"1,958"
"body, or sexual activities that made you uncomfortable; or made gestures or used",,,,,,,,,
body language of a sexual nature which embarrassed or offended you,,,,,,,,,
Another economist or economics student made unwanted attempts to establish a,,,,,,,,,
0.09,0.03,0.22,0.09,0.09 0.09,0.11,0.09,,0.13,802
"dating, romantic, or sexual relationship with you despite your efforts to discourage it",,,,,,,,,
Another economist or economics student made you feel threatened with some sort of,,,,,,,,,
retaliation for not being romantically or sexually cooperative or implied you’d be 0.03,0.01,0.07,0.03,0.04 0.03,0.04,0.03,,0.06,267
treated better if you were sexually cooperative,,,,,,,,,
Another economist or economics student watched or followed you from a distance;,,,,,,,,,
"repeatedly waited for you outside of your workplace, classroom, meeting room when",,,,,,,,,
you didn’t want them to; spied on you; made unwanted phone calls to you or left you,,,,,,,,,
0.05,0.02,0.10,0.05,0.05 0.04,0.07,0.04,,0.07,405
"unwanted messages, emails or other electronic transmissions including via social",,,,,,,,,
"media, or sent cards, letters, flowers, or presents when they knew you didn’t want",,,,,,,,,
them to,,,,,,,,,
"Another economist or economics student attempted to fondle, kiss, or rub up against",,,,,,,,,
the private areas of your body; attempted to remove some of your clothes without,,,,,,,,,
"your consent; attempted to put their penis, fingers, or other objects into your vagina 0.02",0.00,0.06,0.02,0.02 0.02,0.03,0.02,,0.05,179
and/or butt without your consent; and/or attempted to have oral sex with you without,,,,,,,,,
your consent,,,,,,,,,
"Another economist or economics student fondled, kissed, or rubbed up against the",,,,,,,,,
private areas of your body; removed some of your clothes without your consent; put,,,,,,,,,
0.01,0.00,0.02,0.01,0.01 0.01,0.02,0.01,,0.03,85
"their penis, fingers, or other objects into your vagina and/or butt without your",,,,,,,,,
consent; and/or attempted to have oral sex with you without your consent,,,,,,,,,
"Another economist or economics student touched you in a way, other than what was",,,,,,,,,
0.05,0.02,0.12,0.05,0.05 0.04,0.07,0.05,,0.07,427
"listed above, that made you feel uncomfortable",,,,,,,,,
