Sample:,Non-Black,Black,Non-Asian,Asian,Non-Latino,Latino
I am satisfied with the overall climate within the field of economics,0.34,0.32,0.34,0.33,0.34,0.31
I am satisfied with the overall climate at my institution/place of employment,0.57,0.48,0.58,0.51,0.57,0.54
I feel valued within the field of economics,0.40,0.32,0.40,0.36,0.40,0.35
I feel valued at my institution/place of employment,0.64,0.56,0.66,0.56,0.65,0.60
I always feel included socially within the field of economics,0.37,0.28,0.38,0.32,0.37,0.38
I always feel included socially at my institution/place of employment,0.64,0.55,0.64,0.58,0.64,0.62
I always feel included intellectually within the field of economics,0.42,0.37,0.42,0.42,0.42,0.40
I always feel included intellectually at my institution/place of employment,0.65,0.57,0.66,0.59,0.65,0.63
I feel I have been discriminated against within the field of economics,0.17,0.36,0.17,0.22,0.17,0.22
I feel I have been discriminated against at my institution/place of employment,0.12,0.18,0.11,0.14,0.12,0.14
The work that I do is valued within the field of economics,0.40,0.42,0.40,0.40,0.40,0.40
The work that I do is valued at my institution/place of employment,0.64,0.59,0.64,0.58,0.64,0.61
I think I have a great deal of power within the field of economics,0.07,0.16,0.07,0.09,0.07,0.09
I think I have a great deal of power at my institution/place of employment,0.24,0.25,0.25,0.19,0.24,0.23
My ideas and opinions are often ignored within the field of economics,0.20,0.24,0.20,0.22,0.20,0.23
My ideas and opinions are often ignored at my institution/place of employment,0.12,0.15,0.12,0.14,0.12,0.13
