"",,,,,Non-,No,With,Hetero-,Other sexual
Sample:,All,Male,Female,White,,,,,
"",,,,,White,disability,disability,sexual,orientation
"Have you ever been discriminated against, or treated",,,,,,,,,
unfairly based on:,,,,,,,,,
Racial/ethnic identity,0.09,0.08,0.11,0.04,0.29,0.09,0.12,0.09,0.12
Sex,0.17,0.03,0.48,0.17,0.16,0.16,0.23,0.16,0.21
Sexual orientation,0.01,0.01,0.01,0.01,0.02,0.01,0.03,0.01,0.20
Disability status,0.02,0.01,0.03,0.02,0.02,0.01,0.14,0.02,0.05
Marital status / caregiving responsibilities,0.09,0.04,0.22,0.09,0.10,0.09,0.13,0.09,0.10
Religion,0.04,0.04,0.05,0.04,0.07,0.04,0.08,0.04,0.05
Political views,0.09,0.08,0.10,0.09,0.10,0.08,0.14,0.09,0.09
Age,0.09,0.06,0.16,0.08,0.12,0.08,0.15,0.09,0.09
Citizenship status,0.06,0.05,0.09,0.04,0.16,0.06,0.08,0.06,0.09
Place of employment,0.15,0.12,0.23,0.14,0.21,0.15,0.21,0.15,0.18
Research topics,0.16,0.13,0.23,0.15,0.20,0.15,0.22,0.15,0.22
Other factors,0.09,0.07,0.13,0.07,0.14,0.08,0.14,0.08,0.12
